INFO 2025-12-11 08:28:08,810 middleware_mejorado 8472 13436 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-11 08:28:09,422 middleware_mejorado 8472 14396 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-11 08:32:19,838 middleware_mejorado 8472 14396 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-11 08:32:48,802 middleware_mejorado 8472 16184 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /luna-ai/chat/
INFO 2025-12-11 08:32:51,350 middleware_mejorado 8472 16184 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /luna-ai/chat/
INFO 2025-12-11 08:32:52,662 middleware_mejorado 8472 16184 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /luna-ai/chat/
INFO 2025-12-12 12:20:52,227 middleware_mejorado 5989 136334997145280 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /accounts/login/
INFO 2025-12-12 12:20:52,239 middleware_mejorado 5989 136334997145280 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-12 12:20:52,702 middleware_mejorado 5989 136334980359872 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-12 15:44:55,792 middleware_mejorado 84353 128925992744640 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /accounts/login/
INFO 2025-12-12 15:44:55,802 middleware_mejorado 84353 128925992744640 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-12 15:44:56,430 middleware_mejorado 84353 128925992744640 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-12 15:45:24,015 middleware_mejorado 84353 128925984351936 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /reportes/estadisticas/
INFO 2025-12-12 21:28:41,659 middleware_mejorado 211375 131637305145024 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-12 21:29:32,284 middleware_mejorado 211375 131637286262464 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /idiomas/api/language/change/
INFO 2025-12-12 21:29:32,371 middleware_mejorado 211375 131637286262464 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /idiomas/api/language/save-preference/
INFO 2025-12-12 21:29:34,351 middleware_mejorado 211375 131637286262464 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-12 21:29:46,608 middleware_mejorado 211375 131637286262464 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /idiomas/api/language/change/
INFO 2025-12-12 21:29:46,639 middleware_mejorado 211375 131637286262464 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /idiomas/api/language/save-preference/
INFO 2025-12-12 21:29:48,640 middleware_mejorado 211375 131637286262464 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-12 21:29:52,372 middleware_mejorado 211375 131637286262464 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /repositorios/dashboard/
INFO 2025-12-12 21:33:02,958 middleware_mejorado 211375 131637286262464 [ACCESO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /materiales/nuevo/
INFO 2025-12-12 21:33:02,965 middleware_mejorado 211375 131637286262464 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /materiales/nuevo/
INFO 2025-12-12 21:34:14,453 middleware_mejorado 211375 131637277869760 [ACCESO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /materiales/nuevo/
INFO 2025-12-12 21:34:14,461 middleware_mejorado 211375 131637277869760 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /materiales/nuevo/
INFO 2025-12-12 21:35:12,060 middleware_mejorado 211375 131637286262464 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /repositorios/dashboard/
INFO 2025-12-12 21:35:50,173 middleware_mejorado 211375 131637277869760 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /repositorios/importar-github/
INFO 2025-12-12 21:37:14,532 middleware_mejorado 211375 131637277869760 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /reportes/estadisticas/
INFO 2025-12-12 21:40:07,251 middleware_mejorado 211375 131637277869760 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /admin/gestion/proveedor/add/
INFO 2025-12-12 21:40:38,224 middleware_mejorado 211375 131637277869760 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /admin/gestion/proveedor/add/
INFO 2025-12-12 21:40:52,905 middleware_mejorado 211375 131637277869760 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /admin/gestion/proveedor/add/
INFO 2025-12-12 21:45:37,716 middleware_mejorado 211375 131637277869760 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /admin/gestion/empleado/add/
INFO 2025-12-12 21:45:57,966 middleware_mejorado 211375 131637277869760 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /admin/gestion/empleado/add/
